gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000287927.1_CTA-392E5.2	8.291160496567	5.80687154361934	1.06916976454022	5.43119693074796	5.59773188784293e-08	0.000477059574660034
ENSG00000096006.12_CRISP3	26.7122842672981	4.53261489508516	1.00945286957894	4.4901699045898	7.11663839104241e-06	0.00477012766434251
ENSG00000178752.16_ERFE	13.2181365408745	3.95415282371094	0.760667622648643	5.19826624136122	2.01155878624616e-07	0.000477059574660034
ENSG00000235888.3_AF064858.8	13.1456061071709	2.82930388404962	0.72150026267705	3.92141767703839	8.80295235096778e-05	0.0162732377908005
ENSG00000103723.17_AP3B2	17.7732288972132	2.82921152917351	0.687112382183849	4.11753826962254	3.82940954279697e-05	0.00995476285147533
ENSG00000076864.20_RAP1GAP	207.908143230921	2.71244144764901	0.694655812376905	3.90472720348779	9.43317324092644e-05	0.0164700388913967
ENSG00000118113.12_MMP8	102.01372166792	2.60061191727193	0.751647351719161	3.45988303068432	0.000540410080845265	0.0426167576941446
ENSG00000012223.13_LTF	451.068965456843	2.52425185077647	0.742303473925026	3.40056585944447	0.000672465346339331	0.0475794013669829
ENSG00000103175.11_WFDC1	13.710430433103	2.32375700274735	0.570880815819186	4.07047660099222	4.69170536411154e-05	0.0109767138698754
ENSG00000118520.15_ARG1	117.782687139093	2.31923549395527	0.495309939044374	4.68239239945373	2.83546033300678e-06	0.00258244137811832
ENSG00000197561.7_ELANE	20.0372640389125	2.25391781636977	0.640722973665991	3.51777274892087	0.00043518487013465	0.0400286164918323
ENSG00000163958.14_ZDHHC19	22.1003612254575	2.24996747910923	0.62024916345998	3.62752198899886	0.000286154411554122	0.0309947620959271
ENSG00000152463.15_OLAH	27.3906766784952	2.24869297883678	0.600986316127527	3.74167084755988	0.000182800839476382	0.0251576967081732
ENSG00000137460.10_FHDC1	57.3812450123182	2.13141958127103	0.514748117253947	4.14070398672193	3.46241543877227e-05	0.00985827922490655
ENSG00000204936.10_CD177	137.51193931056	2.12964889711354	0.589126440178194	3.61492669802663	0.000300432614894271	0.0316785331585628
ENSG00000087085.16_ACHE	23.9743102895479	2.06573898475191	0.589471408456331	3.50439216409416	0.000457650873013341	0.04084853517853
ENSG00000167680.17_SEMA6B	11.4663233938953	2.04162196216071	0.600589670448736	3.39936243098436	0.000675431485028986	0.0475794013669829
ENSG00000123836.15_PFKFB2	172.753544400755	1.98823186745237	0.372647635682254	5.33542058790271	9.53233416181911e-08	0.000477059574660034
ENSG00000135519.8_KCNH3	66.723774504337	1.94709025797201	0.407838776066179	4.77416658796579	1.80452966751934e-06	0.00191903527733102
ENSG00000240583.14_AQP1	17.5046850972382	1.86983218607679	0.517158124956331	3.61559085286475	0.000299663353017348	0.0316785331585628
ENSG00000100985.7_MMP9	570.450741992255	1.76689127147384	0.437064044018466	4.04263699028784	5.28534145709887e-05	0.0115950212625424
ENSG00000115590.14_IL1R2	821.986877091646	1.73254367065086	0.465216032698575	3.72417016799895	0.000195958721029279	0.0258705002322055
ENSG00000161914.10_ZNF653	27.0601494761146	1.69282725630436	0.483377317055606	3.5020825276119	0.000461636603587039	0.04084853517853
ENSG00000272398.6_CD24	52.1761971621434	1.68737295270096	0.476636036306774	3.54017074700354	0.000399868234835196	0.0383764774590234
ENSG00000106070.20_GRB10	226.503356082723	1.64448105302633	0.376778069305183	4.36458803469884	1.27362551275053e-05	0.00573033509544451
ENSG00000202058.1_RN7SKP80	8.33690701534437	1.5623522789856	0.444608222956356	3.51399771375565	0.000441416612023113	0.0400286164918323
ENSG00000154917.11_RAB6B	79.98298186107	1.46491599537424	0.418078342577165	3.50392700646496	0.000458451002172943	0.04084853517853
ENSG00000118046.16_STK11	416.927306931261	1.44593248335315	0.381093455823337	3.794167706788	0.000148139525601224	0.0231058156064416
ENSG00000162366.8_PDZK1IP1	271.274036894312	1.43206886520931	0.419290361598083	3.41545858519411	0.000636747114589826	0.046846966958942
ENSG00000239779.7_WBP1	9.60639678836714	1.43140076811311	0.396216591452725	3.61267245994139	0.000303057415199944	0.0316785331585628
ENSG00000136802.12_LRRC8A	180.303112326307	1.26266893944674	0.358146796131022	3.52556257123354	0.000422584335415735	0.0398660609330103
ENSG00000018280.17_SLC11A1	1512.36931780192	1.15040192913783	0.341183831274359	3.37179497879764	0.000746800185296499	0.0490790368966205
ENSG00000285994.1_RP11-495F22.1	46.6595743686612	1.10494217954426	0.303988367086628	3.63481731269469	0.000278177686087067	0.0309916435413954
ENSG00000112977.16_DAP	288.211459130174	0.975433127285666	0.281806938072172	3.46135242076919	0.000537468712788972	0.0426167576941446
ENSG00000184887.14_BTBD6	43.7134289309066	0.955795952414237	0.279195804764781	3.42338937800115	0.000618454182301877	0.0465365509318077
ENSG00000205903.7_ZNF316	200.924621921845	0.950073703131428	0.250963788526513	3.78570035426071	0.000153276281637115	0.0233189754164684
ENSG00000125503.13_PPP1R12C	283.663371149291	0.924509622369018	0.262057941022478	3.52788249332127	0.000418898068818242	0.0398395903173641
ENSG00000196547.15_MAN2A2	850.160406351875	0.914102474671549	0.251110409752583	3.6402412610939	0.00027238269869888	0.0309352699939757
ENSG00000141562.18_NARF	224.229920750272	0.90449134310454	0.244351456710825	3.70159996293761	0.000214244217557982	0.0266620091169497
ENSG00000064999.15_ANKS1A	137.89125341184	0.854751491904526	0.253262320829599	3.37496509194364	0.00073825054577238	0.0487912705335893
ENSG00000183049.13_CAMK1D	243.332401230055	0.796158975219568	0.183954040944313	4.328031997191	1.50447616665037e-05	0.00620624332840108
