gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000087116.16_ADAMTS2	78.5008776211743	7.73766411676289	0.800053425335851	9.67143427142347	3.98749959268317e-22	7.57371172635722e-19
ENSG00000152463.15_OLAH	25.7383605862196	7.30404420690584	0.682461455072895	10.7025007091802	9.90679143671674e-27	3.44970989145538e-23
ENSG00000135424.18_ITGA7	79.2310511748343	6.74845604156557	0.691989112567402	9.75225754134715	1.80410897377172e-22	3.76932487890125e-19
ENSG00000078053.17_AMPH	9.8151360249446	6.42428464842855	0.750204352201774	8.56337960393581	1.09606315800774e-17	6.73530810595754e-15
ENSG00000204936.10_CD177	129.477441420508	6.37727993927474	0.6085769982506	10.4790025873582	1.07875408731917e-25	3.2197727351942e-22
ENSG00000088340.17_FER1L4	7.72496186019545	6.25929312420863	0.777140768351541	8.05425912410405	7.99616587635505e-16	2.57021374853363e-13
ENSG00000169174.11_PCSK9	6.81060163603677	6.19454105375655	0.816089645344007	7.59051544042733	3.18635413745981e-14	6.05204518126797e-12
ENSG00000196415.10_PRTN3	8.65665490969645	6.193451999331	0.889719754376699	6.96112676925992	3.37561839368007e-12	3.65423808803926e-10
ENSG00000096006.12_CRISP3	27.1106207735723	6.05283367818561	1.01279902242853	5.97634233855388	2.28203194421186e-09	9.56878050007105e-08
ENSG00000188523.9_CFAP77	5.18602556635567	5.89030011962737	0.896173305488952	6.57272436430543	4.94028629160701e-11	3.66019154221792e-09
ENSG00000103175.11_WFDC1	12.7647447788139	5.66180920644565	0.660412133406845	8.57314534370875	1.00696288684558e-17	6.41864932436039e-15
ENSG00000186417.14_GLDN	5.22513825941759	5.60844914226401	0.651767985759636	8.60497794430231	7.63314365216193e-18	5.49928518360756e-15
ENSG00000121454.6_LHX4	3.78387795656634	5.35500775538774	0.990095755811103	5.40857560893273	6.35279672973209e-08	1.5596825155616e-06
ENSG00000118113.12_MMP8	98.9892217755865	5.33724193533402	0.730873151103731	7.30255575440685	2.82352244342477e-13	4.18381946173573e-11
ENSG00000204791.10_SMPD5	8.39228454118748	5.30436101053186	0.808374461010545	6.56176223566107	5.31755579695466e-11	3.88460465964244e-09
ENSG00000163958.14_ZDHHC19	21.5606864890673	5.23376344025649	0.654757525364327	7.99343762768402	1.31227284898038e-15	3.86159389207704e-13
ENSG00000211974.3_IGHV2-70D	4.88464553970456	5.1382702000696	0.917314445695729	5.60142732318199	2.12593921002906e-08	6.22962803858867e-07
ENSG00000012223.13_LTF	436.104383530899	5.04691696593874	0.642343147292937	7.85704181201007	3.93311591206975e-15	9.90055310251484e-13
