gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000087116.16_ADAMTS2	47.8143826060714	7.76131184074611	1.25492076500711	6.1847026977055	6.2219618806126e-10	2.91706312836054e-07
ENSG00000115155.19_OTOF	27.9403715953915	5.85299285675865	1.07746342665864	5.43219631585046	5.56646338202535e-08	8.16963208363685e-06
ENSG00000078053.17_AMPH	4.3733610759908	5.6031455137726	0.972688412412124	5.76047318162003	8.38784572412760e-09	2.05174000191052e-06
ENSG00000272512.1_RP11-54O7.17	6.10610153290792	5.33270071688837	0.991012321223909	5.38106399151772	7.40468643854287e-08	1.02439588286661e-05
ENSG00000108821.14_COL1A1	2.71463684826624	4.96836757951407	1.51507559624059	3.27928691600752	0.0010406976955398	0.0147109679274043
ENSG00000088340.17_FER1L4	2.96319962574384	4.9618425833222	0.898911624397245	5.51983359504257	3.39320838302968e-08	5.61476187144853e-06
ENSG00000152463.15_OLAH	4.39956780135629	4.92408561436786	1.08396717140257	4.54265197717795	5.55509204243707e-06	0.000299549020742022
ENSG00000165949.12_IFI27	389.572715098547	4.88594458402384	0.657656067090836	7.42933096570824	1.09148330480929e-13	3.68441104371425e-10
ENSG00000196739.15_COL27A1	2.9814101033246	4.864887992364	1.33222290741372	3.65170720702314	0.000260502790035322	0.00560812001303081
ENSG00000211974.3_IGHV2-70D	2.65505142523092	4.84582432443996	1.08466857998861	4.46756217875402	7.91160193916523e-06	0.000393899756723395
ENSG00000121270.16_ABCC11	2.50134033012968	4.83577740335554	1.56625367994307	3.0874803138731	0.00201861141476923	0.0232437482910522
ENSG00000288393.1_ZNF75CP	2.34930967153792	4.79347725838664	1.33163560280249	3.59969142331322	0.000318595027481364	0.00654907993729864
ENSG00000204791.10_SMPD5	4.37152721664674	4.73507547937213	1.05683289619746	4.48043914644329	7.44896162733183e-06	0.000376062476215882
ENSG00000101203.16_COL20A1	2.31270415093424	4.72699120801664	1.41633498467149	3.33748107557553	0.000845414788374712	0.0127173893031982
ENSG00000115414.21_FN1	28.1401822770835	4.61789221646458	0.845729843242366	5.46024508105386	4.7547775388033e-08	7.29555775453838e-06
ENSG00000285710.1_RP11-529K1.5	4.43246809601779	4.59592848207545	0.818526484243563	5.614880606243	1.96698014040939e-08	3.73310414267675e-06
ENSG00000230202.1_RP11-632C17__A.1	16.833579732839	4.57651631748095	0.72283030819254	6.3313840961161	2.42971653525156e-10	1.51884280303614e-07
ENSG00000135424.18_ITGA7	12.7868707222915	4.44128306963474	0.548609201438265	8.09553149672157	5.7014858468245e-16	4.81148390613519e-12
ENSG00000254665.1_RP11-152H18.3	1.4301188395448	4.39488818692699	1.16704886567438	3.76581334011871	0.000166007784222056	0.00405011676779672
ENSG00000161835.11_TAMALIN	63.507737066401	4.27846358506809	0.651148293412344	6.57064393526518	5.00981294199245e-11	5.14114526264723e-08
ENSG00000175592.9_FOSL1	3.85124750875878	4.24720461081538	0.786154551873945	5.40250590763786	6.57162924327864e-08	9.32066877042495e-06
ENSG00000204936.10_CD177	24.5255572105247	4.23817394732981	0.722286644214147	5.86771745162334	4.41835343360396e-09	1.23114696942095e-06
ENSG00000188290.11_HES4	22.6728632569291	4.16988854215439	0.929690502613687	4.48524377782861	7.28306180769761e-06	0.000371370142568943
ENSG00000078098.14_FAP	2.5654288776958	4.15080071189561	1.31865266088289	3.14775894746725	0.00164527308511647	0.0201516103995615
ENSG00000230778.2_ANKRD63	1.58298402665131	4.05981841231909	1.15269586717549	3.52202044609311	0.000428271111338242	0.00806033887542215
ENSG00000215910.7_C1orf167	1.85409048669669	4.05178521352593	1.20444041645533	3.36403956407437	0.00076810531225788	0.0118145241956525
ENSG00000254420.1_RP11-452H21.1	1.55860143730155	4.03241205469211	1.18867373428562	3.3923623769777	0.000692927314909476	0.0111263154113907
ENSG00000211896.7_IGHG1	1054.00238895781	4.018985548225	0.527517550434793	7.61867646851267	2.5628993487557e-14	1.44188717360995e-10
ENSG00000287356.1_RP11-181G12.8	2.83689352394417	4.00442462111342	1.07797374741152	3.7147700774059	0.000203388540110986	0.00470957229011548
ENSG00000188886.4_ASTL	4.80536886183289	3.99453304337593	0.878083700303793	4.54914838072262	5.38634542408909e-06	0.000294643631149919
ENSG00000236928.3_RP11-792A8.1	2.43906768731236	3.99349163878646	1.12168104459955	3.56027380333611	0.000370468311331046	0.00727912009155458
ENSG00000287765.1_RP11-468E2.13	1.71189496961678	3.90693731225765	1.08807660412463	3.59068221616696	0.000329813561039084	0.00669061692694431
ENSG00000129538.14_RNASE1	6.69325242722125	3.8908860171224	0.903554369176704	4.30620021312905	1.66082748404942e-05	0.000682030323011828
ENSG00000155066.16_PROM2	2.58203713367433	3.8760055122542	1.41790911462079	2.73360645776709	0.00626448686764364	0.0496161470446219
ENSG00000264940.5_SNORD3C	2.91169187794601	3.87016345631141	0.908480557594138	4.26003993586883	2.04390380802179e-05	0.000798863127980445
ENSG00000251396.7_LINC01301	2.03533506056807	3.86685406656936	1.34013450261639	2.88542236545658	0.0039088885615418	0.0365508150369543
ENSG00000205837.7_LINC00487	2.69848280239811	3.86116912662796	1.23241825257453	3.13300222433574	0.00173028130909897	0.0208597770964089
ENSG00000264764.1_MIR4772	5.86012177590353	3.78787141669517	0.838511521230926	4.51737551695725	6.26108132864431e-06	0.000327165729612566
ENSG00000287315.1_RP11-245P10.9	2.40798371636225	3.78189561167223	1.25170659314296	3.02139146057872	0.00251615830923686	0.0271945618622459
