baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419.14_DPM1	71.8766809642472	0.470105418121453	0.128752323207376	3.65123833427281	0.000260978909477784	0.0015149819233693
ENSG00000000457.14_SCYL3	41.0847561546473	-1.15336340765337	0.194486834220884	-5.93029040898196	3.02399358269282e-09	9.16542853441503e-08
ENSG00000000460.17_C1orf112	26.0778405228527	-0.550732514736519	0.224810070862844	-2.44976798691781	0.0142948291386491	0.0423348925222071
ENSG00000000938.13_FGR	1225.45161851245	0.905338989200274	0.173258618473717	5.22536193105805	1.73814779832232e-07	2.92612919864688e-06
ENSG00000000971.16_CFH	4.48328151914099	-1.17079599804676	0.466577584228077	-2.50932757514223	0.0120961253336163	0.0371325651522425
ENSG00000001036.14_FUCA2	32.9979271220168	-0.359906804050023	0.166706355607833	-2.15892671120879	0.0308558532067984	0.0794723174014929
ENSG00000001084.13_GCLC	228.394672958997	-0.834984350200855	0.298945540754954	-2.7930985292244	0.00522057877210103	0.0185629721662345
ENSG00000001167.15_NFYA	108.550448899713	-0.228420340006562	0.136220865960067	-1.676838114313	0.0935741423622559	0.19445049112283
ENSG00000001460.18_STPG1	4.35917076633476	-0.665430872010003	0.36334733711142	-1.83139052923883	0.0670422738896229	0.149147943320314
ENSG00000001461.17_NIPAL3	91.8652184907628	-0.791086020481787	0.183600808889759	-4.30872840520428	1.64195851256481e-05	0.000144125441200172
ENSG00000001561.7_ENPP4	28.2853303769707	-0.54767780102499	0.256853938012454	-2.13225386094114	0.0329859828189833	0.0839269171327799
ENSG00000001617.12_SEMA3F	0.860975284506543	3.52850177622789	0.841046791252989	4.19536916723877	2.72427504636974e-05	0.000222320554300903
ENSG00000001626.16_CFTR	0.0630682229196252	-0.00623308434584399	4.26283165120505	-0.00146219340941648	0.998833338869441	NA
ENSG00000001629.10_ANKIB1	162.864283178539	-0.444298852939042	0.125565655343592	-3.53837880050308	0.000402592053906636	0.00219976855475422
ENSG00000001630.17_CYP51A1	8.79892053364074	1.48142267998177	0.326835739744096	4.53262143589831	5.82561648498712e-06	5.95805116026111e-05
ENSG00000001631.16_KRIT1	32.9526897675784	-0.892985576786423	0.26815290999096	-3.33013569316301	0.000868036708764142	0.00416504638957599
ENSG00000002016.18_RAD52	16.5029487128357	-0.340641267587139	0.208931124830701	-1.6303998165097	0.1030170234271	0.20947813800547
ENSG00000002079.14_MYH16	0.0554157829427405	-0.161898453344292	4.26258198755059	-0.0379813112843664	0.969702582710303	NA
ENSG00000002330.14_BAD	34.7418806113523	0.514635169571107	0.15192227428838	3.38748989890859	0.00070535314460161	0.00351031563391239
ENSG00000002549.13_LAP3	109.247731639327	0.243422076060671	0.255536582926989	0.95259188830204	0.340796888768392	0.521718242418
ENSG00000002587.10_HS3ST1	2.89552965047153	-1.12027840570415	0.468984837858377	-2.38873054152434	0.0169066972526834	0.0487000467561335
ENSG00000002726.21_AOC1	6.57307655133725	-0.196475979509681	1.04369627047693	-0.188250150036369	0.850680561127589	0.954805420654605
ENSG00000002745.13_WNT16	0.72723716092873	-1.63669003670015	0.82554218499412	-1.98256378226366	0.0474161762717337	0.112172110787557
ENSG00000002746.15_HECW1	3.1768239222931	1.39478803346009	4.03852374223612	0.345370764785401	0.729815652868133	0.876612278879249
ENSG00000002822.16_MAD1L1	16.3126371054287	0.258725101824901	0.268995107210195	0.961820846885257	0.33613960429328	0.516692348038079
ENSG00000002834.18_LASP1	829.409637043455	-0.0698662731358857	0.102793985061832	-0.679672775540904	0.49671167784274	0.684729297670424
ENSG00000002919.15_SNX11	93.2272599655324	-0.132760247403387	0.183631375114531	-0.722971481973514	0.469697405039379	0.657826316893733
ENSG00000002933.9_TMEM176A	22.0765144999337	-0.786593592991655	0.598955130095843	-1.31327632650176	0.189089852670746	0.335270364195346
ENSG00000003056.8_M6PR	149.470624867911	-0.691671586941656	0.141796038697954	-4.87793307410385	1.07203283959834e-06	1.39558702144249e-05
ENSG00000003137.9_CYP26B1	1.68026625347442	-4.08587465011541	1.27195552103212	-3.21227793154273	0.00131686911140668	0.00591766651628426
ENSG00000003147.19_ICA1	11.5964243392758	0.303484834278783	0.265365243594766	1.14364952307857	0.252769014813094	0.417824297384442
ENSG00000003249.15_DBNDD1	4.74671281666654	-1.08421652272257	0.562897588180193	-1.92613460332592	0.0540875689008519	0.125014168693406
ENSG00000003393.16_ALS2	58.551179026775	-0.108518575305604	0.153143886684754	-0.708605336163295	0.478569423970626	0.667174871891954
ENSG00000003400.15_CASP10	121.686378257317	0.00216048615904568	0.149561347536574	0.014445484709994	0.988474571617063	0.995270522832366
ENSG00000003402.20_CFLAR	2123.11227813815	0.494715939269935	0.181034632397353	2.73271435812394	0.00628147820739794	0.0215351329511552
ENSG00000003436.16_TFPI	41.5099306365002	-0.0890509549036187	0.245761443548063	-0.362347134757951	0.717092639369376	0.867045166024642
ENSG00000003509.16_NDUFAF7	21.1992922293429	-0.0488014977335573	0.198936144367841	-0.245312373418282	0.806214571807636	0.931965909388088
ENSG00000003756.17_RBM5	308.017082798903	0.112020861311738	0.102857973422052	1.08908291292196	0.276117324252174	0.446647066919287
ENSG00000003987.14_MTMR7	3.69455048564572	-0.25803718634031	1.24025897089425	-0.208051054171583	0.835189103954116	0.948265109328404
ENSG00000003989.18_SLC7A2	0.433580117164914	0.393265846703085	4.13862829279458	0.0950232344827314	0.924296371973213	0.964727673683265
ENSG00000004059.11_ARF5	109.159609082191	-0.0182406880172925	0.107472617715033	-0.169724050694087	0.865227158765851	0.954805420654605
