baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419.14_DPM1	71.8766809642472	0.391359536114525	0.100160598276076	3.9073202721474	9.33254133421536e-05	0.000376458740647232
ENSG00000000457.14_SCYL3	41.0847561546473	-1.00572010811096	0.148746353609813	-6.76130932761645	1.3675020252121e-11	2.32095782228237e-10
ENSG00000000460.17_C1orf112	26.0778405228527	-0.542898864263322	0.170885863474339	-3.17696767436147	0.00148823623096469	0.00446272399988268
ENSG00000000938.13_FGR	1225.45161851245	1.01900361069473	0.134989283544791	7.54877412440383	4.39374115985526e-14	1.24833006960509e-12
ENSG00000000971.16_CFH	4.48328151914099	-1.10380089713079	0.386730943152041	-2.85418303519829	0.00431476640394244	0.0114919099733639
ENSG00000001036.14_FUCA2	32.9979271220168	-0.426817175583749	0.130084318637642	-3.28108091777515	0.00103410072377821	0.00323207811601848
ENSG00000001084.13_GCLC	228.394672958997	-0.858922222977677	0.229731013671474	-3.7388170158252	0.000184888237988455	0.000696372545091717
ENSG00000001167.15_NFYA	108.550448899713	-0.187352645578896	0.105882516893314	-1.76943891282515	0.0768206566265035	0.140616017595205
ENSG00000001460.18_STPG1	4.35917076633476	-0.565722204394364	0.270792097309298	-2.08913853105616	0.0366952547635427	0.0747583885552888
ENSG00000001461.17_NIPAL3	91.8652184907628	-0.672927545918695	0.142941956812639	-4.70769787208618	2.50530050228591e-06	1.44075374154111e-05
ENSG00000001561.7_ENPP4	28.2853303769707	-0.734655228289062	0.197024217565083	-3.72875597410446	0.000192427380289344	0.000722004044279922
ENSG00000001617.12_SEMA3F	0.860975284506543	2.81524713344195	0.722091253958268	3.89874149286491	9.66939356593709e-05	0.00038855311393375
ENSG00000001626.16_CFTR	0.0630682229196252	0.165975016402138	3.29622200705092	0.0503531060854221	0.959841004871532	NA
ENSG00000001629.10_ANKIB1	162.864283178539	-0.479845948583422	0.0970223601982038	-4.94572537302906	7.58608452848595e-07	4.89766080715213e-06
ENSG00000001630.17_CYP51A1	8.79892053364074	1.59594184374228	0.258867100035895	6.16510110215234	7.04381208209652e-10	8.62127544107303e-09
ENSG00000001631.16_KRIT1	32.9526897675784	-0.885367462848887	0.203646410859767	-4.34757214286758	1.3765279995608e-05	6.73501731833603e-05
ENSG00000002016.18_RAD52	16.5029487128357	-0.284428210245971	0.157288749594081	-1.80831884657995	0.0705568902820437	0.130854890189627
ENSG00000002079.14_MYH16	0.0554157829427405	-0.214099464292828	3.29576423501188	-0.0649620085133476	0.948204249145993	NA
ENSG00000002330.14_BAD	34.7418806113523	0.543491114332091	0.118998608035454	4.56720564470943	4.94269049293077e-06	2.67163284198936e-05
ENSG00000002549.13_LAP3	109.247731639327	0.382983147436042	0.197217823256262	1.94192969536226	0.0521456119184372	0.101292352412218
ENSG00000002587.10_HS3ST1	2.89552965047153	-0.557775857681183	0.349562340789401	-1.59564058422764	0.110569061040772	0.191669275416493
ENSG00000002726.21_AOC1	4.34809980779256	2.44592508	0.789687149350168	3.09733428233288	0.00195269540283159	0.00568648022952254
ENSG00000002745.13_WNT16	0.72723716092873	-1.13095875463557	0.652374125625616	-1.73360455329372	0.082988272022128	0.149832002939699
ENSG00000002746.15_HECW1	0.069201868700358	0.865536767387577	3.29829186853544	0.262419701435309	0.792997885211138	NA
ENSG00000002822.16_MAD1L1	16.3126371054287	0.28139687118152	0.205670635140814	1.36819177413858	0.171252055750527	0.275698819424496
ENSG00000002834.18_LASP1	829.409637043455	0.127191600169894	0.0832428213597387	1.52795878482096	0.126522771334863	0.214505326485814
ENSG00000002919.15_SNX11	93.2272599655324	-0.211543690263182	0.146807753132668	-1.44095720933767	0.149596772067223	0.24627687400252
ENSG00000002933.9_TMEM176A	22.0765144999337	-0.434846097117471	0.468988340242172	-0.92720023037871	0.353822583251833	0.501275198954442
ENSG00000003056.8_M6PR	149.470624867911	-0.721628042960477	0.109270442746711	-6.60405526710652	4.00060270563493e-11	6.12912862707876e-10
ENSG00000003137.9_CYP26B1	1.68026625347442	-2.69642335459558	0.991011054523363	-2.72088120741746	0.00651081539887501	0.0165771974083295
ENSG00000003147.19_ICA1	11.5964243392758	0.46333476448997	0.205794817547327	2.25144039102645	0.0243576583272784	0.0522756397697521
ENSG00000003249.15_DBNDD1	4.74671281666654	-0.78962804894455	0.425446015732874	-1.85600057291484	0.0634534763953514	0.119697713142717
ENSG00000003393.16_ALS2	58.551179026775	-0.171017218672882	0.131004964534817	-1.30542547971478	0.191748006905511	0.303388985594365
ENSG00000003400.15_CASP10	121.686378257317	0.00662667505795758	0.115661214196245	0.0572938396333448	0.954311127554536	0.974684131315839
ENSG00000003402.20_CFLAR	2123.11227813815	0.509562428960306	0.140392271718041	3.62956181793036	0.00028390273784534	0.00101860704209839
ENSG00000003436.16_TFPI	41.5099306365002	-0.304289213454159	0.190025734443203	-1.60130528817985	0.109309318337041	0.18979908115003
ENSG00000003509.16_NDUFAF7	21.1992922293429	-0.0386193254449492	0.152909385360637	-0.252563473156769	0.800605559229837	0.906063524753929
ENSG00000003756.17_RBM5	308.017082798903	0.0675582253872551	0.0799441789425928	0.845067474340665	0.398073167121899	0.549090496056322
ENSG00000003987.14_MTMR7	0.586928432052979	0.111258453319092	1.23811931167258	0.0898608496533288	0.928397792689324	0.960859457296887
ENSG00000003989.18_SLC7A2	0.433580117164914	0.409670113397145	3.29838760275097	0.124203144911006	0.901154432243094	0.945044359709129
ENSG00000004059.11_ARF5	109.159609082191	0.0284871842643496	0.08283963818776	0.343883494514812	0.730933905194241	0.855446476894739
