baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419.14_DPM1	73.3065901453248	-0.0978907541480759	0.100007967751196	-0.978829550777518	0.327664205957417	0.581841604178319
ENSG00000000457.14_SCYL3	32.7127672224819	-0.519717176977378	0.142624895313104	-3.64394431867203	0.000268491528869529	0.00786667818107779
ENSG00000000460.17_C1orf112	22.8139260375543	-0.370064927435032	0.171599669676262	-2.15655967248184	0.0310399895779064	0.154276798281234
ENSG00000000938.13_FGR	1188.17764136433	0.400265756484424	0.129648295204303	3.08731985911326	0.00201970144021658	0.02942254499355
ENSG00000000971.16_CFH	4.34502038015864	-1.10670054399537	0.387011005602916	-2.85961000584793	0.00424162278161245	0.0468810939020323
ENSG00000001036.14_FUCA2	31.9902376136612	-0.543892723162415	0.136326825825235	-3.98962361127414	6.61782246172387e-05	0.00308304698302153
ENSG00000001084.13_GCLC	170.346038809532	0.0783280927599912	0.214986133754591	0.364340208328988	0.715603978236987	0.88135652041274
ENSG00000001167.15_NFYA	106.456434062121	-0.402035493263291	0.125707565445392	-3.19818056963276	0.00138297653980806	0.0228819754768243
ENSG00000001460.18_STPG1	3.61341792868666	-0.230839091452483	0.240448656694716	-0.960034855780315	0.337037672707434	0.590952374111301
ENSG00000001461.17_NIPAL3	75.155369336559	-0.127998039859688	0.135279011645263	-0.946178112206585	0.344057748007145	0.59796438725376
ENSG00000001561.7_ENPP4	22.8664467474885	-0.0691521764062713	0.202759101112759	-0.341055844234653	0.73306154159619	0.890476999447183
ENSG00000001617.12_SEMA3F	1.03299169268271	0.582229916868132	0.557971908141221	1.04347532263357	0.296728204193045	NA
ENSG00000001626.16_CFTR	0.0859224724842495	0.080298844662915	3.07230157751699	0.0261363810280018	0.979148559102254	NA
ENSG00000001629.10_ANKIB1	143.958841056531	-0.277544163937249	0.105735934661264	-2.6248802247447	0.00866794528944068	0.0709762766651861
ENSG00000001630.17_CYP51A1	10.1390160732848	-0.045012714065145	0.242849014292101	-0.185352673538148	0.852952426198238	0.955110797178502
ENSG00000001631.16_KRIT1	25.2439074839129	-0.136686777806684	0.189790452745462	-0.720198386322425	0.471402857323674	0.711665335052129
ENSG00000002016.18_RAD52	14.9201707538387	-0.206789481117391	0.153218211361188	-1.34964035463067	0.177131373124253	0.413204184683996
ENSG00000002079.14_MYH16	0.206414174861506	-1.16047033940885	2.13540832806675	-0.543441890787916	0.586825589799751	NA
ENSG00000002330.14_BAD	32.4230015810177	0.175823452849734	0.107843004462826	1.63036493396603	0.103024391246779	0.306713836536213
ENSG00000002549.13_LAP3	139.530590021473	-0.906597129091469	0.215604579183263	-4.20490665145319	2.61189934922979e-05	0.0015301470436475
ENSG00000002587.10_HS3ST1	2.65936180657463	-0.439816164219143	0.307624119283977	-1.42971937715045	0.152797576546613	0.379214714324779
ENSG00000002726.21_AOC1	9.49044121479218	-0.534902142424459	0.781228087440242	-0.684693946651496	0.493537069677812	0.730749647586738
ENSG00000002745.13_WNT16	0.628948378593416	-0.684087431805242	0.578567453384631	-1.18238146270295	0.237054375188254	NA
ENSG00000002746.15_HECW1	0.291220269108344	-1.24348461559926	1.94197189490724	-0.640320603434199	0.521964188615144	NA
ENSG00000002822.16_MAD1L1	16.5581508004802	-0.271888662717406	0.204009668815613	-1.33272439632821	0.182622264156217	0.420513640178441
ENSG00000002834.18_LASP1	777.108249514723	0.00255285509165961	0.0817591667755888	0.0312240840059762	0.975090833016921	0.997451279277651
ENSG00000002919.15_SNX11	87.7873753861423	-0.310658392474594	0.134378749039428	-2.3118119099579	0.0207880508023656	0.122103905105525
ENSG00000002933.9_TMEM176A	19.609257251833	-0.221301263051202	0.416565746386835	-0.531251705092659	0.595244367316049	0.805810585388999
ENSG00000003056.8_M6PR	130.793001867363	-0.448860543909413	0.110707440847618	-4.05447493386866	5.02470378356608e-05	0.00245832281884147
ENSG00000003137.9_CYP26B1	0.848668850354908	-0.469645569428047	1.06448807902229	-0.441193827045395	0.659072681747431	NA
ENSG00000003147.19_ICA1	10.9248410779262	0.214243833717505	0.192295517439458	1.11413847067422	0.265219786779836	0.517622260443919
ENSG00000003249.15_DBNDD1	4.34212386250946	-0.713389231800436	0.412292956448526	-1.73029691786525	0.0835772399466704	0.272679002350718
ENSG00000003393.16_ALS2	53.2680099571676	-0.110990953666901	0.138175547641703	-0.803260457882948	0.42182420782558	0.669959385722443
ENSG00000003400.15_CASP10	114.80885036627	-0.131374292124874	0.122890791662969	-1.06903284084271	0.285054871533154	0.538829158743314
ENSG00000003402.20_CFLAR	2074.63634789221	0.0696351297132192	0.128263055893032	0.542908706083639	0.587192661367976	0.800877280942533
ENSG00000003436.16_TFPI	36.53739858367	-0.0299802705904613	0.206604314829879	-0.14510960535915	0.884624334582334	0.966469608478242
ENSG00000003509.16_NDUFAF7	19.4704560521224	0.0453516357019534	0.146642307578858	0.309267062491943	0.757118383944292	0.904061381627416
ENSG00000003756.17_RBM5	288.552604938721	-0.0238147594152178	0.0756980447823848	-0.314602041356286	0.753063829037329	0.901378574742156
ENSG00000003987.14_MTMR7	0.568936987429166	0.119501188114441	1.09798798684315	0.108836516925856	0.913332159525921	NA
ENSG00000003989.18_SLC7A2	0.345395793139209	-0.334804098273602	2.9149802213648	-0.114856387641919	0.908558953866388	NA
ENSG00000004059.11_ARF5	100.578287464311	-0.0469755869230905	0.0829717917913514	-0.566163341888767	0.571282747245475	0.790893285254618
ENSG00000004139.14_SARM1	43.7080497524041	-0.257567373279957	0.174941717352849	-1.47230390313624	0.140938829777216	0.362023429855816
