"","Intrahepatic cholangiocyte","NK Cell","Monocyte","Macrophage","Secretory cell","Respiratory ciliated cell","Ionocyte/luminal epithelial cell of mammary gland","Fibroblast/mesenchymal stem cell","Respiratory secretory cell","Mast cell","Basal cell","Endothelial cell","neutrophil","B cell","T Cell","Erythrocyte/erythroid progenitor","Platelet","Basophil","Stromal cell","Mature conventional dendritic cell","Adventitial cell","Gland cell","Salivary/bronchial secretory cell","Pericyte cell","Myeloid progenitor","Pancreatic Stellate cell","Pancreatic alpha/beta cell","Basal prostate cell","Prostate epithelia","Salivary gland cell","Intestinal enterocyte","Intestinal secretory cell","Intestinal tuft cell","Type II Pneumocyte","Cell of skeletal muscle","Schwann cell","Tendon cell","Mesothelial cell","Plasmablast","Kidney epithelial cell","Thymocyte"
"prevail_cu_cfrna_2",0.0068712241819471,0.117234611176427,0.126134424848483,0.00688582134350209,0.000138035692763534,0.0161569833745245,9.55275970894441e-05,0.00241006921187609,0.00024209612774418,0.00095899376035177,0.00167557531724042,0.0809235172272782,0.0353552178903976,0.00136444509612721,0.0529269831750532,0.00834349733094671,0.390824249962585,0.000309534778812713,0.00598722168272954,0.000223560159313495,0.00140422899339939,0.000474200622878465,0.000461893260342631,0.00749993146865462,0.0679521632286334,0.000425105763856592,0.00383602385377962,0.000315182112216624,0.0022713120638311,0.000427514098164644,0.00816309695736,0.000436465219023851,0.0338522296280093,0.000222936858562233,0.00149741245528181,0.00868866063206796,0.00049173746924164,0.000320101682754523,8.27309836298546e-05,0.00175578058915044,0.00435970212396905
"prevail_cu_cfrna_3",0.00271903250407501,0.0721099591913357,0.151267032425276,0.000813145736014725,0.000340663703111524,0.00541621511197423,0.000112467069029635,0.000358386671822625,0.000216133424156923,0.00135197011761099,0.00090744446607117,0.0629795221751971,0.0485903999683158,0.000269162312529731,0.0537385396681895,0.00720658736787615,0.494638389531092,0.000250699262641268,0.00547931642600738,0.000170940056905989,0.000494010007291085,0.000425863259175222,0.000696848536481782,0.00205798090348194,0.046419683509195,0.00022220549088847,0.00211257156770503,0.000182462888670864,0.000479281066358515,0.000518866770769654,0.00289829227703455,0.000271438223296346,0.0233589902408033,0.000336819313850871,0.00239307843008259,0.00549375342147852,0.00044383582321742,0.000174540300641841,4.11867727590111e-05,0.00131980606185731,0.000722477945727626
"prevail_cu_cfrna_4",0.00532919196126131,0.0859480779784675,0.0940301018044141,0.0041912423819285,0.000292740844743107,0.0116409040536072,0.000111150985793835,0.0022120147102666,0.000143376238355358,0.000284364303245322,0.00134970147143682,0.0648500854208442,0.0196650460588995,0.00103872301800563,0.0663424140999155,0.020178172380436,0.49299363394593,0.000798846352152687,0.00398522537976181,0.000419717920327816,0.000934357584408187,0.000342895028344671,0.00017710350629502,0.00387918713892038,0.0604354188757555,0.000604615840219987,0.00440287870002651,0.000333761393043863,0.00294071978563397,0.00164305347706647,0.00578926876229659,0.00031280548663223,0.0224959287071948,0.000387344553520701,0.00317768757321691,0.00684335696419171,0.00199090626923528,0.000658779058556378,9.0017927649408e-05,0.00448826088077212,0.00226692117722609
"prevail_cu_cfrna_6",0.00134135281524128,0.0607656382878962,0.0833403060322571,0.000809712195752063,0.00045805287072796,0.0016744259614831,0.000141780501108021,7.92613068716571e-05,0.000238531609917567,0.000438319476274789,7.23306928077787e-05,0.0646217566131997,0.0242137117214929,0.000305385505720149,0.0668066733074554,0.0215930192606495,0.588599476402788,0.000343222002739879,0.00711311634623895,0.0001430317409241,8.70668579364803e-05,0.000159864075997025,0.000344054620786305,0.000307442359331327,0.0527779342217391,0.000209547838268869,0.000256389595059591,0.000201923283393018,0.000184436918498303,0.000201914007474431,0.000681564537812506,0.000180797932540763,0.0161219966970651,8.56774940148955e-05,0.00203996436133424,0.0015336741866699,0.000206918525086621,6.11552629630829e-05,5.69754153373598e-05,0.00089413406353844,0.000307463093606327
"prevail_cu_cfrna_7",0.000374251010037085,0.0785878231641565,0.0904456995430183,0.00282254806098109,0.000494512005024055,0.000448666964661379,0.000167290704553161,0.000281421897177457,0.000241298921593488,0.000572466367365352,0.000176795202278321,0.0777066919417446,0.0208663849159619,0.000557620132906062,0.088813954186528,0.0328871166497633,0.520423702989864,0.000485301027055282,0.0068125424016838,0.000237750465784543,0.00035347605989119,0.000370308925835859,0.0002015246592752,0.00039320929139764,0.0531987245638327,0.000344030809958371,0.000465779285111251,0.000290564868220217,0.000354833832375677,0.000319823116804237,0.000359778976076314,0.00025396906918593,0.0112632893745908,0.000257730528512386,0.00134152518988286,0.0034420375410771,0.000187313981562822,0.000159589864799425,0.000157319434509758,0.00177795464506978,0.00110337742989301
"prevail_cu_cfrna_8",0.00236705548160492,0.0547920230897613,0.0804941419356868,0.00451377841045561,0.00035016698721184,0.00543670172534964,0.000139920177070837,0.000812388139078235,0.000311150649205388,0.000349620148262475,0.000339302066381185,0.0678516610943559,0.010007886347626,0.000547376568243279,0.0759957450311691,0.04363252401997,0.571626381266297,0.000182932123400798,0.00595378354060912,0.000324768953274185,0.000477407978908035,0.000352213814030686,0.000376290680499766,0.00132612632799586,0.0346036016193892,0.000307814851062165,0.00194630559389125,0.000170665651994486,0.000673374202575086,0.000387468696758241,0.00358915442947988,0.000236691069176874,0.0208537131778468,0.000127884120098017,0.000896559011836906,0.00459076418953991,0.000451877771431933,0.000269088943917591,7.77970109154891e-05,0.0017601269849,0.000495766118738706
"prevail_cu_cfrna_39",0.0264956979696041,0.0775893664441068,0.00265438848528417,0.0516529813637211,0.000678011286850513,0.051888520186448,0.0016506588462454,0.0055838182262663,0.000614959286605004,0.00750626724476136,0.00972166124037115,0.0603665044100195,0.0477929129388247,0.00170769084361522,0.00460880532159495,0.000262461875236194,0.318886907563252,0.00203210693458771,0.0134274877913047,0.000644778048808729,0.0166831630890522,0.000915825189422588,0.000626509475255356,0.0274996916010463,0.0563729375832477,0.00116649689022139,0.0320919844155992,0.00107763758090381,0.0118559379499491,0.00705422563029314,0.0437404742051493,0.00172387231278934,0.0560836860475542,0.000637450040388471,0.0025603349170181,0.016396007233723,0.00750829112710922,0.00132082053841258,0.000208636776415376,0.0146768372666759,0.0140331938222666
"prevail_cu_cfrna_40",0.0463373439677794,0.0505940354240612,0.000147660907422664,0.0076980494781402,0.000164430721518472,0.176268822302926,0.000297444038997612,0.0430981150199112,7.28061213628781e-05,0.000616725605088787,0.0332593714025068,0.0184995989898174,0.0083283170303024,0.0101321533426566,0.00021749227941094,4.8826139732148e-05,0.0484369242821126,0.00406588275952494,5.66739866875374e-05,0.000919889457590115,0.0633720365467834,8.38067658324152e-05,0.000101000721103676,0.0552662031338537,0.0296169106067611,0.000128743951957277,0.0790366769665779,9.62997691985765e-05,0.0605663815791692,0.0245642852737551,0.0618293017991728,0.0108469118027205,0.0405623593733233,0.00129940930392347,0.000122670175218851,0.0245903269312966,0.0341080208362987,0.0105927350330716,4.818544758349e-05,0.030335157497331,0.023572013227518
"prevail_cu_cfrna_41",0.0513481436542595,0.0514541069393473,0.000145959702349916,0.00767002553968946,9.02316070180736e-05,0.183176705249849,5.91373464455307e-05,0.0416312777811771,4.96860533084491e-05,0.000363396886489645,0.0354844979118634,0.00516654685338163,0.00921538727814272,0.0101283434735518,0.000294741002090258,3.67712586142249e-05,0.0566140673990002,0.0040213497539687,4.868953890952e-05,0.00101609835856621,0.062230166012283,9.17482114246428e-05,0.000104950283412568,0.0509762588914222,0.0369659407102501,7.35050975125211e-05,0.0786090457957816,6.37521110845085e-05,0.0625514677340809,0.0191689649862051,0.0588667084474392,0.012017394968211,0.0464383684812728,0.000989198985058781,8.47304147573872e-05,0.0239886480717442,0.0330223837110132,0.00846107652944775,8.16994643150911e-05,0.0249391848125492,0.0222596426927118
"prevail_cu_cfrna_42",0.00419912685865604,0.00320050712523416,5.21734067797135e-05,0.000782926142645884,5.88821921768562e-05,0.0106034824635988,0.0396460757606887,0.0065555102972823,5.90891832040783e-05,0.000167922020204263,0.00136659436987957,0.0126313282827536,9.29764143171069e-05,0.000405121238858035,0.00230266972063378,1.78523945735278e-05,0.86066595374605,0.000350845094927128,0.000460573201576051,0.000119766305867109,0.00180086354100547,9.15608136459813e-05,0.000103830588260358,0.00391388649943448,0.000140054335683389,8.08964927563573e-05,0.00600522206405775,0.000139273297692189,0.00116287517873021,0.000163679302105446,0.0127166228108868,0.000152198591744796,0.0179915034990882,0.000111422038955108,0.000401120507889864,0.00352608506801773,0.00159894834308976,0.000300159370628406,2.58783456400291e-05,0.0039719894473441,0.00186255364343641
