"output_misc_covid"	"output_misc_cntrl"
0.29750103633807	0.314544278229583
0.38663743116502	0.507055099439576
0.55411440864212	0.590866688966472
0.496536222604309	0.28854004486612
0.307976678810757	0.600608497102175
0.521972891960569	0.280493325654512
0.324346344090832	0.651992866521666
0.581322736392255	0.481498541110023
0.558917932700556	0.394945096218575
0.256092835693973	0.56358085550093
0.334117269245257	0.660455406903379
0.226228904164652	0.537124012037365
0.438515125075457	0.857651013794237
0.252574007936237	0.829277479939955
0.335699802586194	0.393252235280523
0.618231108721307	0.463612786279689
0.206923434761386	0.377723251131255
0.405854788068502	0.708066474796045
0.215901603945219	0.718470776761834
0.352441494906122	0.224237413465685
0.469380724445357	0.634691538560288
0.473798525490586	0.272434198810749
0.295253510308831	0.529170596137346
0.255142638480447	0.312833394611862
0.461765088874991	0.273189802890182
0.381531070941879	0.174721735756201
0.374023545814866	0.480728256026873
0.229743192563949	0.587508865417419
0.397127665065064	0.556556558909622
0.0484831842264407	0.686602657326328
0.419417177716475	0.499484112143012
0.171582499086983	0.697955186169285
0.36696880646937	0.81194643757387
0.500592633423177	0.457456958345989
0.11632918948096	0.530008015348846
0.140763738952754	0.490547256330135
0.274226369295579	0.608913583496716
0.141781199460138	0.34540957817521
0.441036332593023	0.281220877612536
0.412504016720623	0.690078129336926
0.364388285098956	0.646965251956431
0.483270220451923	0.701884550782796
0.304959600620418	0.632688197629901
0.267078214095414	0.407933312152795
0.224313862146252	0.787379798395113
0.095380692532034	0.459770329806592
0.383904868755668	0.934996210467888
0.116550684117515	0.196981940944721
0.39082285186695	0.339613047681752
0.236086995809592	0.5477849221044
0.114108281684308	0.505190095271801
0.493210567419326	0.544135377533156
0.391794117283025	0.715659920642991
0.348235870335723	0.594351408704731
0.286374102753986	0.783393993772443
0.316206785208678	0.551188185399914
0.173292470417142	0.340152357641216
0.229391577890445	0.35610983418955
0.438914937281525	0.95165288794259
0.515673009009882	0.169449985087045
0.410889788877871	0.400376270738001
0.429561506497151	0.443230683147777
0.275787757332483	0.222181485072886
0.0067059524075617	0.402550164053398
